program_code,major_name,course_scope,course_code,course_title,year_level,semester,term
,,GENERAL_EDUCATION,GESTECH,"Science, Technology and Society",FIRST_YEAR,FIRST,FIRST_TERM
,,GENERAL_EDUCATION,GEETHICS,Ethics,FIRST_YEAR,FIRST,SECOND_TERM
,,GENERAL_EDUCATION,GEMATH,Mathematics in the Modern World,FIRST_YEAR,SECOND,FIRST_TERM
,,GENERAL_EDUCATION,GEUS,Understanding the Self,FIRST_YEAR,FIRST,SECOND_TERM
,,GENERAL_EDUCATION,NSTP 1,Civic Welfare Training Service 1,FIRST_YEAR,FIRST,SECOND_TERM
BSIT,,PROGRAM_SPECIFIC,IT 101,Introduction to Computing,FIRST_YEAR,FIRST,FIRST_TERM
BSIT,,PROGRAM_SPECIFIC,IT 201,Data Structures,SECOND_YEAR,FIRST,FIRST_TERM
BSIT,,PROGRAM_SPECIFIC,IT 206,Applications Development and Emerging Technology,SECOND_YEAR,SUMMER,
BSIT,,PROGRAM_SPECIFIC,IT 306,System Administration and Maintenance,THIRD_YEAR,SECOND,FIRST_TERM
BSIT,,PROGRAM_SPECIFIC,ITRES1,Capstone Project 1,THIRD_YEAR,SECOND,SECOND_TERM
BSIT,,PROGRAM_SPECIFIC,IT-PRAC,Practicum (486 hrs),FOURTH_YEAR,SECOND,FIRST_TERM
BSSW,,PROGRAM_SPECIFIC,SW 101,Knowledge and Philosophical Foundations of Social Work,FIRST_YEAR,FIRST,SECOND_TERM
BSSW,,PROGRAM_SPECIFIC,SW 205,Social Work Communication and Documentation,SECOND_YEAR,FIRST,FIRST_TERM
BSSW,,PROGRAM_SPECIFIC,SW 312,Social Work Research 1 (Development of a Research Design),THIRD_YEAR,FIRST,FIRST_TERM
BSSW,,PROGRAM_SPECIFIC,SW 317B,Social Work Practice with Communities (Community Organizing and Community-Based Social Work Practice) (Laboratory/Application),THIRD_YEAR,SECOND,SECOND_TERM
BSSW,,PROGRAM_SPECIFIC,SW 423,"Field Instruction 1: Agency-Based Placement (500 hours) Social Work Practice with Individuals, Families and Small Groups (semestral)",FOURTH_YEAR,FIRST,
BSHM,,PROGRAM_SPECIFIC,HTC 101,"Risk Management as Applied to Safety, Security and Sanitation",FIRST_YEAR,FIRST,FIRST_TERM
BSHM,,PROGRAM_SPECIFIC,HM 201,Fundamentals in Food Service Operations,SECOND_YEAR,FIRST,FIRST_TERM
BSHM,,PROGRAM_SPECIFIC,HM 302,Applied Business Tools and Technologies in Hospitality,THIRD_YEAR,FIRST,FIRST_TERM
BSHM,,PROGRAM_SPECIFIC,HM-E 4,Catering Management,THIRD_YEAR,SECOND,FIRST_TERM
BSHM,,PROGRAM_SPECIFIC,HM-PRAC 2,Practicum in Hospitality Mgt. (500 Hours),FOURTH_YEAR,FIRST,SECOND_TERM
BEED,,PROGRAM_SPECIFIC,ENG 201,Teaching English in the Elementary Grades (Language Arts),SECOND_YEAR,FIRST,FIRST_TERM
BEED,,PROGRAM_SPECIFIC,SCI 201,Teaching Science in the Elementary Grades (Bio and Chem),SECOND_YEAR,FIRST,SECOND_TERM
BEED,,PROGRAM_SPECIFIC,MATH 202,Teaching Math in the Intermediate Grades,SECOND_YEAR,SECOND,SECOND_TERM
BEED,,PROGRAM_SPECIFIC,EDUCRES 1,Research in Education 1 (Proposal),THIRD_YEAR,FIRST,FIRST_TERM
BEED,,PROGRAM_SPECIFIC,EDUC 11E,Teaching Internship (Elementary),FOURTH_YEAR,SECOND,
BSED,English,PROGRAM_SPECIFIC,ENG 14,Research in Language 1 (Proposal),THIRD_YEAR,FIRST,FIRST_TERM
BSED,Science,PROGRAM_SPECIFIC,SCI 15,Thermodynamics,THIRD_YEAR,SECOND,FIRST_TERM
BSED,Mathematics,PROGRAM_SPECIFIC,MATH 13,Calculus 2,THIRD_YEAR,FIRST,SECOND_TERM
BSED,Values Education,PROGRAM_SPECIFIC,VALED 12,Teaching Approaches and Strategies in Values Education,THIRD_YEAR,FIRST,FIRST_TERM
BSED,,PROGRAM_SPECIFIC,EDUC 11S,Teaching Internship (Secondary),FOURTH_YEAR,SECOND,
BSBA,Financial Management,PROGRAM_SPECIFIC,FM 201,Financial Analysis and Reporting,SECOND_YEAR,SECOND,FIRST_TERM
BSBA,Human Resource Development Management,PROGRAM_SPECIFIC,HRDM 301,Training and Development,THIRD_YEAR,FIRST,SECOND_TERM
BSBA,Marketing Management,PROGRAM_SPECIFIC,MM 302,Advertising,THIRD_YEAR,SECOND,FIRST_TERM
BSBA,,PROGRAM_SPECIFIC,BUSCOM,Business Communication,FIRST_YEAR,SECOND,SECOND_TERM
BSBA,,PROGRAM_SPECIFIC,FS,Feasibility Study,FOURTH_YEAR,FIRST,
BSBA,,PROGRAM_SPECIFIC,PRAC-BA,Practicum,FOURTH_YEAR,SECOND,
BSIT,,PROGRAM_SPECIFIC,IT 102,Computer Programming 1,FIRST_YEAR,FIRST,SECOND_TERM
BSIT,,PROGRAM_SPECIFIC,IT 104,Object Oriented Programming,FIRST_YEAR,SECOND,FIRST_TERM
BSIT,,PROGRAM_SPECIFIC,IT 106,Human Computer Interaction 1,FIRST_YEAR,SECOND,SECOND_TERM
BSIT,,PROGRAM_SPECIFIC,IT 203,Fundamentals of Database,SECOND_YEAR,FIRST,SECOND_TERM
BSIT,,PROGRAM_SPECIFIC,IT 204,Information Management,SECOND_YEAR,SECOND,FIRST_TERM
BSIT,,PROGRAM_SPECIFIC,IT 301,Computer Networking 1,THIRD_YEAR,FIRST,FIRST_TERM
BSIT,,PROGRAM_SPECIFIC,IT 305,Integrative Programming and Technology,THIRD_YEAR,FIRST,SECOND_TERM
BSIT,,PROGRAM_SPECIFIC,ITRES2,Capstone Project 2,FOURTH_YEAR,FIRST,FIRST_TERM
BSSW,,PROGRAM_SPECIFIC,SW 102,Fields of Social Work,FIRST_YEAR,SECOND,FIRST_TERM
BSSW,,PROGRAM_SPECIFIC,SW 103,The Philippine Social Realities and Social Welfare,FIRST_YEAR,SECOND,SECOND_TERM
BSSW,,PROGRAM_SPECIFIC,SW 204,Filipino Personality and Social Work,SECOND_YEAR,FIRST,FIRST_TERM
BSSW,,PROGRAM_SPECIFIC,SW 208,Social Work Counseling,SECOND_YEAR,SECOND,FIRST_TERM
BSSW,,PROGRAM_SPECIFIC,SW 210A,Social Work Practice with Individuals and Families (Lecture),SECOND_YEAR,SECOND,FIRST_TERM
BSSW,,PROGRAM_SPECIFIC,SW 311,Social Work Statistics,THIRD_YEAR,FIRST,FIRST_TERM
BSSW,,PROGRAM_SPECIFIC,SW 316,Social Work Research 2 (Implementation of a Research Design),THIRD_YEAR,SECOND,FIRST_TERM
BSSW,,PROGRAM_SPECIFIC,SW 425,Field Instruction 2: Community-Based Placement (500 hours) Social Work Practice with Communities in an Urban or Rural Setting (semestral),FOURTH_YEAR,SECOND,
BSHM,,PROGRAM_SPECIFIC,HTC 102,Macro Perspective of Tourism and Hospitality,FIRST_YEAR,FIRST,SECOND_TERM
BSHM,,PROGRAM_SPECIFIC,HTC 103,Micro Perspective of Tourism and Hospitality,FIRST_YEAR,SECOND,FIRST_TERM
BSHM,,PROGRAM_SPECIFIC,HM 101,Kitchen Essentials and Basic Food Preparation,FIRST_YEAR,SECOND,SECOND_TERM
BSHM,,PROGRAM_SPECIFIC,HTC 201,Legal Aspects in Tourism and Hospitality,SECOND_YEAR,FIRST,SECOND_TERM
BSHM,,PROGRAM_SPECIFIC,HM 202,Fundamentals in Lodging Operations,SECOND_YEAR,SECOND,SECOND_TERM
BSHM,,PROGRAM_SPECIFIC,HM 301,Research in Hospitality with Thesis (Proposal),THIRD_YEAR,FIRST,FIRST_TERM
BSHM,,PROGRAM_SPECIFIC,HTC 401,Entrepreneurship in Tourism and Hospitality,FOURTH_YEAR,FIRST,
BSHM,,PROGRAM_SPECIFIC,HM-PRAC 1,Practicum in Hospitality Mgt. (100 Hours),FOURTH_YEAR,SECOND,
BEED,,PROGRAM_SPECIFIC,FIL 1,Pagtuturo ng Filipino sa Elementarya 1 (Estruktura at Gamit ng Wikang Filipino),SECOND_YEAR,FIRST,FIRST_TERM
BEED,,PROGRAM_SPECIFIC,MUSIC,Teaching Music in the Elementary Grades,SECOND_YEAR,FIRST,FIRST_TERM
BEED,,PROGRAM_SPECIFIC,FIL 2,Pagtuturo ng Filipino sa Elementarya 2 (Panitikan ng Pilipinas),SECOND_YEAR,SECOND,FIRST_TERM
BEED,,PROGRAM_SPECIFIC,MATH 201,Teaching Math in the Primary Grades,SECOND_YEAR,SECOND,FIRST_TERM
BEED,,PROGRAM_SPECIFIC,SOCSTUD 1,Teaching Social Studies in the Primary Grades (Philippine History and Government),SECOND_YEAR,SECOND,FIRST_TERM
BEED,,PROGRAM_SPECIFIC,MTB-MLE,Content and Pedagogy for the Mother-Tongue,THIRD_YEAR,FIRST,FIRST_TERM
BEED,,PROGRAM_SPECIFIC,ENG 301,Teaching English in the Elementary Grades through Literature,THIRD_YEAR,SECOND,FIRST_TERM
BEED,,PROGRAM_SPECIFIC,SCI 301,"Teaching Science in the Elementary Grades (Physics, Earth & Space Science)",THIRD_YEAR,SECOND,SECOND_TERM
BSED,English,PROGRAM_SPECIFIC,ENG 1,Introduction to Linguistics,FIRST_YEAR,SECOND,SECOND_TERM
BSED,English,PROGRAM_SPECIFIC,ENG 2,Principles and Theories of Language Acquisition and Learning,SECOND_YEAR,FIRST,FIRST_TERM
BSED,English,PROGRAM_SPECIFIC,ENG 7,Structure of English,SECOND_YEAR,SECOND,FIRST_TERM
BSED,English,PROGRAM_SPECIFIC,ENG 20,Research in Language 2 (Final),THIRD_YEAR,SECOND,FIRST_TERM
BSED,Science,PROGRAM_SPECIFIC,SCI 1,Cell and Molecular Biology,SECOND_YEAR,FIRST,FIRST_TERM
BSED,Science,PROGRAM_SPECIFIC,SCI 3,The Teaching of Science/Teaching the Specialized Field,SECOND_YEAR,FIRST,SECOND_TERM
BSED,Science,PROGRAM_SPECIFIC,SCI 11,Research in Science 1 (Proposal),THIRD_YEAR,FIRST,FIRST_TERM
BSED,Science,PROGRAM_SPECIFIC,SCI 17,Research in Science 2 (Final),THIRD_YEAR,SECOND,FIRST_TERM
BSED,Mathematics,PROGRAM_SPECIFIC,MATH 1,College and Advanced Algebra,SECOND_YEAR,FIRST,FIRST_TERM
BSED,Mathematics,PROGRAM_SPECIFIC,MATH 8,Calculus 1 with Analytic Geometry,SECOND_YEAR,SECOND,SECOND_TERM
BSED,Mathematics,PROGRAM_SPECIFIC,MATH 11,Research in Mathematics 1 (Proposal),THIRD_YEAR,FIRST,FIRST_TERM
BSED,Mathematics,PROGRAM_SPECIFIC,MATH 16,Research in Mathematics 2 (Final),THIRD_YEAR,SECOND,FIRST_TERM
BSED,Values Education,PROGRAM_SPECIFIC,VALED 1,Foundation of Values Education,SECOND_YEAR,FIRST,FIRST_TERM
BSED,Values Education,PROGRAM_SPECIFIC,VALED 6,Filipino Values System,SECOND_YEAR,SECOND,FIRST_TERM
BSED,Values Education,PROGRAM_SPECIFIC,VALED 13,Research in Values Education 1 (Proposal),THIRD_YEAR,FIRST,FIRST_TERM
BSED,Values Education,PROGRAM_SPECIFIC,VALED 18,Research in Values Education 2 (Final),THIRD_YEAR,SECOND,FIRST_TERM
BSBA,Financial Management,PROGRAM_SPECIFIC,FM 200,Financial Management,SECOND_YEAR,FIRST,FIRST_TERM
BSBA,Financial Management,PROGRAM_SPECIFIC,FM 202,Banking and Financial Institutions,SECOND_YEAR,SECOND,FIRST_TERM
BSBA,Financial Management,PROGRAM_SPECIFIC,FM 300,Monetary Policy & Central Banking,THIRD_YEAR,FIRST,FIRST_TERM
