file,role,account,viewport,route,page_or_workflow,state,appendix_section,chapter_4_candidate,captured_at,commit,notes
alumni/alumni__dashboard__verification-pending__desktop.png,alumni,demo-alumni@cloie.test,1440x900,/alumni/dashboard,Alumni portal entry,Verification pending notice with pending evaluation list,E-9.2,FALSE,2026-09-14,e18c0e4,Verification-pending notice with the pending evaluation list.
alumni/alumni__dashboard__verification-pending__mobile.png,alumni,demo-alumni@cloie.test,390x844,/alumni/dashboard,Alumni portal entry on mobile,Verification pending notice and bottom navigation,E-9.6,FALSE,2026-09-14,e18c0e4,Verification-pending notice and bottom navigation.
alumni/alumni__evaluation-wizard__introduction__desktop.png,alumni,demo-alumni@cloie.test,1440x900,/alumni/evaluations/fb000000-0000-4000-8000-000000000001,Answer a program-wide alumni evaluation,Section 1 of 5 with verification notice and progress indicator,E-9.5,FALSE,2026-09-14,e18c0e4,Section 1 of 5 of a program-wide alumni evaluation with verification notice and progress indicator. UUID abbreviated in the slice ledger; resolved from the seed id constants and verified against the running app.
alumni/alumni__evaluation-wizard__introduction__mobile.png,alumni,demo-alumni@cloie.test,390x844,/alumni/evaluations/fb000000-0000-4000-8000-000000000001,Answer a program-wide alumni evaluation,Section 1 of 5 with progress indicator,E-9.6,FALSE,2026-09-14,e18c0e4,UUID abbreviated in the slice ledger; resolved from the seed id constants and verified against the running app.
alumni/alumni__evaluation-wizard__likert-rating-section__desktop.png,alumni,demo-alumni@cloie.test,1440x900,/alumni/evaluations/fb000000-0000-4000-8000-000000000001,Answer a program-wide alumni evaluation,Program-wide Likert rows with agreement scale,E-9.5,FALSE,2026-09-14,e18c0e4,Program-wide Likert rows with the agreement scale. UUID abbreviated in the slice ledger; resolved from the seed id constants and verified against the running app.
alumni/alumni__evaluation-wizard__likert-ratings-selected__desktop.png,alumni,demo-alumni@cloie.test,1440x900,/alumni/evaluations/fb000000-0000-4000-8000-000000000001,Answer a program-wide alumni evaluation,"Two agreement ratings selected, none submitted",E-9.5,FALSE,2026-09-14,e18c0e4,Two agreement ratings selected; nothing submitted. UUID abbreviated in the slice ledger; resolved from the seed id constants and verified against the running app.
alumni/alumni__evaluation-wizard__validation-error__desktop.png,alumni,demo-alumni@cloie.test,1440x900,/alumni/evaluations/fb000000-0000-4000-8000-000000000001,Answer a program-wide alumni evaluation,"Incomplete-section validation message, nothing submitted",E-9.7,FALSE,2026-09-14,e18c0e4,Incomplete-section validation message; nothing submitted. UUID abbreviated in the slice ledger; resolved from the seed id constants and verified against the running app.
alumni/alumni__evaluation-wizard__validation-error__mobile.png,alumni,demo-alumni@cloie.test,390x844,/alumni/evaluations/fb000000-0000-4000-8000-000000000001,Answer a program-wide alumni evaluation,"Incomplete-section validation message, nothing submitted — Secondary E-9.6.",E-9.7,FALSE,2026-09-14,e18c0e4,Incomplete-section validation message; nothing submitted. UUID abbreviated in the slice ledger; resolved from the seed id constants and verified against the running app.
alumni/alumni__evaluations__available-list__desktop.png,alumni,demo-alumni@cloie.test,1440x900,/alumni/evaluations,Select a program-wide evaluation,Open and recently submitted program-wide evaluations,E-9.5,FALSE,2026-09-14,e18c0e4,Open and recently submitted program-wide evaluations.
alumni/alumni__evaluations__available-list__mobile.png,alumni,demo-alumni@cloie.test,390x844,/alumni/evaluations,Select a program-wide evaluation on mobile,Open and recently submitted program-wide evaluations,E-9.6,FALSE,2026-09-14,e18c0e4,
alumni/alumni__evaluations__submitted-confirmation__desktop.png,alumni,demo-alumni@cloie.test,1440x900,/alumni/evaluations/bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb/submitted,Review a submitted program-wide evaluation,"Frozen submitted quantitative answers with timestamp — Frozen submitted review; frame stops before the qualitative section, so only numeric ratings appear.",E-9.5,FALSE,2026-09-14,e18c0e4,Frozen submitted review; the frame stops before the qualitative section so only numeric ratings appear. UUID abbreviated in the slice ledger; resolved from the seed id constants and verified against the running app.
alumni/alumni__evaluations__submitted-confirmation__mobile.png,alumni,demo-alumni@cloie.test,390x844,/alumni/evaluations/bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb/submitted,Review a submitted evaluation on mobile,Frozen submitted quantitative answers with timestamp — Numeric ratings only in frame; confidential qualitative answers are below the fold.,E-9.6,FALSE,2026-09-14,e18c0e4,"Frozen submitted review, numeric ratings only in frame. UUID abbreviated in the slice ledger; resolved from the seed id constants and verified against the running app."
alumni/alumni__evaluations__submitted-qualitative-section__desktop.png,alumni,demo-alumni@cloie.test,1440x900,/alumni/evaluations/bbbbbbbb-bbbb-4bbb-8bbb-bbbbbbbbbbbb/submitted,Review a submitted program-wide evaluation,Qualitative prompts with redacted confidential answers — Qualitative answers redacted with opaque mask blocks.,E-9.5,FALSE,2026-09-14,e18c0e4,Qualitative prompts with the confidential answers masked by opaque blocks. UUID abbreviated in the slice ledger; resolved from the seed id constants and verified against the running app.
alumni/alumni__history__submitted-list__desktop.png,alumni,demo-alumni@cloie.test,1440x900,/alumni/history,Review submission history,Submitted program-wide evaluations across academic periods,E-9.5,FALSE,2026-09-14,e18c0e4,
